forecast_time,station_id,station_name,longitude,latitude,elevation,temperature,maximumtemperature,minimumtemperature
2017060618,2553,Kymbo,13.7850,58.0794,220,17.4,,
2017060618,2554,Kettstaka,15.0303,58.7161,225,16.5,21.1,13.6
2017060618,2556,Hagshult,14.1400,57.2925,169,19.2,22.0,14.1
2017060618,2557,Horn,15.8656,57.8864,91,16.3,21.5,13.4
2017060618,2558,Kolmården-Stromsfors,16.3106,58.6894,155,15.6,21.5,13.4
2017060618,2559,Gladhammar,16.4586,57.7072,31,15.8,20.1,13.6
2017060618,2561,Kvarn,15.4336,58.6403,74,17.7,22.6,13.7
2017060618,2562,Linköping/Malmslätt,15.5258,58.3980,93,17.4,22.0,14.4
2017060618,2563,Harstena,17.0105,58.2505,18,13.9,18.5,12.9
2017060618,2565,Målilla,15.8011,57.3844,98,16.8,21.2,13.1
2017060618,2567,Landsort,17.8719,58.7436,20,13.5,15.2,11.9
2017060618,2574,Norrköping,16.1469,58.5828,42,17.5,22.0,14.6
2017060618,2575,Ölands Norra Udde,17.0986,57.3672,4,15.5,19.1,13.6
2017060618,2587,Fårösund-Ar,18.9569,57.9169,13,13.2,18.0,12.8
2017060618,2589,Gotska Sandön,19.1978,58.3944,17,13.0,18.1,12.4
2017060618,2590,Visby Flygplats,18.3500,57.6667,47,16.0,20.6,14.4
2017060618,2595,Roma,18.4253,57.5436,35,14.9,,
2017060618,2598,Östergarnsholm,18.9844,57.4414,5,12.9,15.4,12.4
2017060618,2602,Hunnestorp,12.9436,56.4042,140,16.8,,
2017060618,2603,Broen,12.6628,56.8625,47,18.9,,
2017060618,2605,Hallands Väderö,12.5472,56.4497,10,17.5,22.1,14.8
2017060618,2607,Angelholm-Barkåkra,12.8442,56.2978,37,18.4,22.1,14.5
2017060618,2609,Rynge,13.6683,55.4742,50,16.2,,
2017060618,2611,Helsingborg,12.7653,56.0305,44,18.0,22.5,15.6
2017060618,2615,Falsterbo A,12.8167,55.3833,4,15.6,19.2,14.9
2017060618,2616,Falsterbo,12.8194,55.3839,5,15.6,19.2,14.9
2017060618,2618,Torpup,13.0603,56.9494,135,19.0,22.5,13.9
2017060618,2622,Ljungby,13.8822,56.8528,148,18.4,22.0,13.9
2017060618,2623,Hörby,13.6689,55.8633,114,16.8,20.6,14.7
2017060618,2625,Skillinge,14.3172,55.4889,5,15.5,16.8,14.3
2017060618,2628,Hanö,14.8494,56.0139,60,14.5,16.9,13.2
2017060618,2629,Hästveda,13.9378,56.2744,104,16.3,21.5,13.8
2017060618,2632,Utklippan,15.7078,55.9558,2,14.1,16.1,13.0
2017060618,2635,Malmö,13.0736,55.5714,21,16.8,21.5,15.4
2017060618,2636,Malmö-Sturup,13.3789,55.5230,73,16.5,20.6,15.1
2017060618,2644,Ölands Södra Udde,16.4036,56.1978,3,14.1,15.8,12.9
2017060618,2646,Ölandsbron (Laaga),16.4608,56.6669,0,15.6,,
2017060618,2648,Vaxjö,14.8325,56.8464,200,16.8,21.2,13.8
2017060618,2652,Kristianstad,14.1028,56.0239,10,16.7,,
2017060618,2661,Kosta (Orrefors),15.4722,56.8450,232,16.3,20.8,13.4
2017060618,2664,Rönneby-Bredåkra,15.2681,56.2669,58,15.8,20.5,14.1
2017060618,2667,Karlskrona-Söderstjerna,15.5867,56.1431,4,16.1,19.4,14.7
2017060618,2670,Kalmar,16.3000,56.6833,4,15.5,19.2,13.8
2017060618,2679,Hoburg A,18.1506,56.9211,36,14.6,18.0,13.5
2017060618,2701,Kilpisjärvi Saana,20.8544,69.0422,1002,3.6,2.9,0.8
2017060618,2702,Inari Kaamanen,27.2667,69.1403,156,11.0,15.8,10.1
2017060618,2703,Espoo Sepänkylä,24.7411,60.2076,30,,,
2017060618,2704,Hattula Lepaa,24.3294,61.1147,87,15.6,20.8,13.0
2017060618,2705,Pelkosenniemi Pyhätunturi,27.2223,67.0215,491,9.4,11.8,7.2
2017060618,2706,Lohja Porla,24.0492,60.2439,37,16.5,19.4,13.2
2017060618,2708,Karvia Alkkia,22.7038,62.1905,161,15.1,19.0,12.0
2017060618,2710,Vesanto kk,26.4000,62.9500,120,12.2,19.0,11.3
2017060618,2713,Lammi Evo,25.1328,61.2164,134,14.2,19.7,11.6
2017060618,2714,Vaala Pelso,26.4667,64.5000,114,13.8,17.3,11.2
2017060618,2717,Kittilä Pokka,25.7832,68.1693,275,7.6,10.1,5.3
2017060618,2718,Puumala Urheilukentt?,28.1849,61.5224,98,,,
2017060618,2719,Sodankylä Lokka,27.7417,67.8193,240,9.2,13.8,7.9
2017060618,2720,Kittilä lentoasema,24.8591,67.6955,196,,,
2017060618,2721,Kokkola Tankar,22.8448,63.9506,5,10.4,12.9,8.7
2017060618,2722,Inari Saariselkä,27.4141,68.4145,302,7.4,12.2,7.2
2017060618,2723,Kittilä Levitunturi,24.8539,67.7842,522,8.4,9.3,5.8
2017060618,2725,Halsua Kanala,24.4445,63.4454,153,14.1,19.2,12.8
2017060618,2726,Enontekiö Näkkälä,23.5769,68.6025,374,6.7,8.4,4.8
2017060618,2727,Asikkala Pulkkilanharju,25.5333,61.2667,79,16.3,18.2,12.8
2017060618,2732,Kuopio Ritoniemi,27.9049,62.7986,86,15.8,18.1,12.4
2017060618,2733,Joutseno Konnunsuo,28.5625,61.0394,46,14.3,20.0,13.0
2017060618,2734,Parikkala Koitsanlahti,29.4606,61.4444,74,13.2,19.8,12.4
2017060618,2735,Virrat Äijänneva,23.5424,62.3276,138,15.4,19.0,12.1
2017060618,2736,Juva Partaala,27.8850,61.8921,110,14.6,19.8,13.1
2017060618,2737,Toholampi Laitala,24.1639,63.8211,83,13.8,18.9,12.3
2017060618,2738,Pyhäjärvi Ol. Ojakylä,25.7059,63.7357,152,14.4,18.9,12.4
2017060618,2739,Sotkamo Kuolaniemi,28.3389,64.1111,161,12.6,16.5,10.3
2017060618,2741,Jomala Jomalaby,19.9864,60.1783,11,13.8,18.5,13.2
2017060618,2743,Dragsfjärd Vänö,22.1933,59.8694,8,12.3,15.3,11.4
2017060618,2744,Tampere Keskusta,23.7647,61.5012,92,,,
2017060618,2745,Salla Naruska,29.1780,67.1625,213,8.9,15.1,8.3
2017060618,2746,Hanko Tulliniemi,22.9126,59.8086,10,12.9,14.2,10.7
2017060618,2747,Turku Rajakari,22.0964,60.3778,4,15.1,16.1,12.9
2017060618,2748,Varkaus lentoasema,27.8603,62.1736,80,,,
2017060618,2750,Hanko Tvärminne,23.2483,59.8439,3,12.6,15.7,11.5
2017060618,2751,Pori Tahkoluoto,21.3761,61.6303,3,11.6,12.9,10.2
2017060618,2752,Kristiinankaupunki-Majakka,21.1700,62.2033,0,10.8,11.8,8.8
2017060618,2753,Niinisalo,22.4633,61.8417,122,16.4,19.5,12.9
2017060618,2754,Hameenlinna,24.4914,60.9992,87,17.1,20.5,13.4
2017060618,2755,Ylivieska,24.7244,64.0499,76,14.5,19.6,13.0
2017060618,2756,Salo Kärkkä,23.1128,60.3736,2,16.4,19.9,13.5
2017060618,2757,Tammisaari Jussarö,23.5730,59.8205,15,10.6,13.4,10.3
2017060618,2758,Vihti Maasoja,24.3983,60.4186,42,16.0,20.9,13.7
2017060618,2759,Porvoo Harabacka,25.6080,60.3914,22,16.1,20.0,13.9
2017060618,2761,Rauma Kylmäpihlaja,21.3028,61.1447,4,13.5,15.2,11.8
2017060618,2763,Tampere Härmälä,23.7466,61.4655,85,16.0,20.2,13.4
2017060618,2765,Luhanka Judinsalo,25.5052,61.7042,81,16.4,18.2,12.6
2017060618,2766,Ilomantsi Pötsönvaara,31.0441,63.1419,235,12.2,16.6,10.9
2017060618,2767,Lammi biologinen asema,25.0388,61.0537,125,15.2,20.2,13.2
2017060618,2768,Heinola Plaani,26.0494,61.1998,92,15.1,20.3,13.3
2017060618,2769,Kauhajoki Kuja-Kokko,22.1833,62.4133,93,15.4,18.2,12.4
2017060618,2770,Juupajoki Hyytiälä,24.2873,61.8455,153,14.4,19.0,11.8
2017060618,2771,Leivonmäki Savenaho,26.0955,61.8792,146,13.3,19.3,11.7
2017060618,2772,Rantasalmi Rukkasluoto,28.5658,62.0628,79,16.1,17.4,12.6
2017060618,2773,Turku Artukainen,22.1783,60.4544,8,15.4,18.8,13.4
2017060618,2777,Kiikala lentokenttä,23.6492,60.4633,117,16.1,19.9,13.4
2017060618,2778,Punkaharju Laukansaari,29.3149,61.8017,78,13.9,17.9,12.1
2017060618,2780,Korsnäs Bredskäret,21.1852,62.9347,1,13.3,13.6,10.7
2017060618,2781,Strömmingsbodan,20.7403,62.9783,2,9.5,11.4,8.6
2017060618,2787,Alajärvi Möksy,24.2612,63.0887,171,14.4,18.7,12.5
2017060618,2788,Maaninka Halola,27.3127,63.1434,90,14.4,18.6,11.8
2017060618,2789,Rautavaara Ylä-Luosta,28.6617,63.3777,166,12.0,16.6,10.6
2017060618,2790,Kumlinge kk.,20.7472,60.2580,23,13.1,17.0,12.1
2017060618,2791,Juuka Niemelä,29.2343,63.2318,115,11.5,15.7,10.0
2017060618,2793,Liperi Tuiskavanluoto,29.6683,62.5458,78,14.8,15.5,11.5
2017060618,2794,Kirkkonummi Mäkiluoto,24.3492,59.9200,2,11.3,14.8,10.8
2017060618,2795,Helsinki Harmaja,24.9753,60.1047,3,11.7,14.1,10.7
2017060618,2796,Lieksa Lampela,30.0457,63.3207,98,12.7,16.3,10.3
2017060618,2797,Haapavesi Mustikkamäki,25.4249,64.1418,112,15.0,19.5,12.9
2017060618,2798,Valtimo kk,28.8293,63.6669,115,13.6,16.2,10.4
2017060618,2799,Kuhmo Kalliojoki,30.1665,64.2974,197,12.3,16.5,10.6
2017060618,2800,Nahkiainen,23.8967,64.6117,0,10.7,11.5,6.7
2017060618,2801,Enontekiö Kilpisjärvi,20.7922,69.0486,480,6.4,8.1,4.1
2017060618,2803,Ruukki Revonlahti,25.0892,64.6836,48,13.9,17.4,11.9
2017060618,2804,Taivalkoski kk Urheilutie,28.2177,65.5749,197,12.4,15.1,9.6
2017060618,2805,Utsjoki Kevo,27.0088,69.7558,107,10.9,15.9,8.4
2017060618,2807,Iari Ivalo,27.4147,68.6073,147,11.8,,
2017060618,2811,Kuusamo Kiutaköngäs,29.3158,66.3682,165,12.0,16.4,9.9
2017060618,2812,Ylitornio MeltosjÃ¿rvi,24.6500,66.5333,93,12.3,14.1,8.9
2017060618,2813,Rovaniemen mlk Apukka,26.0115,66.5789,106,11.7,13.6,8.6
2017060618,2814,Kemijärvi lentokenttä,27.1609,66.7152,208,11.4,13.7,8.6
2017060618,2815,Savukoski kk,28.1806,67.2849,180,11.5,15.0,9.1
2017060618,2816,Sodankylä Vuotso,27.1864,68.0838,248,8.9,13.1,7.5
2017060618,2817,Inari Saariselkä,27.4456,68.4321,437,8.1,11.1,6.2
2017060618,2818,Inari Rajajooseppi,28.3020,68.4774,253,10.5,14.8,9.1
2017060618,2819,Salla Värriötunturi,29.6117,67.7475,360,8.7,12.5,7.4
2017060618,2820,Kittilä Laukukero,24.0339,68.0619,760,5.3,6.1,2.3
2017060618,2821,Kittilä Sammaltunturi,24.1169,67.9728,565,7.1,7.9,3.6
2017060618,2823,Muonio kk Alamuonio,23.6768,67.9684,236,9.1,11.1,6.4
2017060618,2824,Kittilä Kenttärova,24.2403,67.9911,347,7.0,9.2,4.7
2017060618,2825,Utsjoki Nuorgam rajavartioasema,27.9465,70.0876,22,8.9,15.1,7.5
2017060618,2827,Inari Väylä,27.4930,69.0714,123,11.5,15.2,9.9
2017060618,2828,Piikkiö Yltöinen,22.5514,60.3867,6,14.9,19.1,13.4
2017060618,2829,Hyvinkää Mutila,24.8030,60.5958,86,16.9,20.5,13.4
2017060618,2830,Anjalankoski Anjala,26.8103,60.6964,33,15.9,19.9,13.5
2017060618,2831,Virolahti Koivuniemi,27.6724,60.5271,5,12.7,17.2,12.2
2017060618,2832,Tohmajärvi Kemie,30.3464,62.2350,90,12.1,17.1,10.9
2017060618,2833,Ylistaro Pelma,22.4877,62.9368,26,16.1,19.4,12.9
2017060618,2834,Vieremä Kaarakkala,27.2207,63.8408,207,14.9,17.2,11.8
2017060618,2835,Inari Nellim,28.3006,68.8489,121,11.6,16.9,10.9
2017060618,2836,Sodankylä observatorio,26.6297,67.3661,179,11.5,14.2,8.4
